(('p0_0', 'X', 'Y'), ('p1_0', 'Y', 'X'))
0.999639	process_of(X,Y) :- result_of(Y,X)
0.999353	result_of(X,Y) :- causes(Y,X)
0.999228	process_of(X,Y) :- adjacent_to(Y,X)
0.999142	adjacent_to(X,Y) :- location_of(Y,X)
0.999076	process_of(X,Y) :- causes(Y,X)
0.998701	treats(X,Y) :- result_of(Y,X)
0.998391	adjacent_to(X,Y) :- disrupts(Y,X)
0.998243	isa(X,Y) :- location_of(Y,X)
0.998041	interacts_with(X,Y) :- contains(Y,X)
0.997921	occurs_in(X,Y) :- process_of(Y,X)
0.997411	conceptual_part_of(X,Y) :- causes(Y,X)
0.996789	associated_with(X,Y) :- interconnects(Y,X)
0.99661	associated_with(X,Y) :- diagnoses(Y,X)
0.996458	isa(X,Y) :- result_of(Y,X)
0.996258	occurs_in(X,Y) :- conceptually_related_to(Y,X)
0.99578	result_of(X,Y) :- diagnoses(Y,X)
0.99507	conceptually_related_to(X,Y) :- conceptually_related_to(Y,X)
0.994669	prevents(X,Y) :- associated_with(Y,X)
0.991312	assesses_effect_of(X,Y) :- surrounds(Y,X)
0.025034	surrounds(X,Y) :- surrounds(Y,X)

(('p0_1', 'X', 'Y'), ('p1_1', 'X', 'Y'))
0.999052	process_of(X,Y) :- associated_with(X,Y)
0.999046	prevents(X,Y) :- measures(X,Y)
0.998901	result_of(X,Y) :- location_of(X,Y)
0.998846	causes(X,Y) :- measures(X,Y)
0.998761	treats(X,Y) :- result_of(X,Y)
0.998624	complicates(X,Y) :- location_of(X,Y)
0.998059	measures(X,Y) :- surrounds(X,Y)
0.998051	degree_of(X,Y) :- issue_in(X,Y)
0.997701	complicates(X,Y) :- complicates(X,Y)
0.996881	diagnoses(X,Y) :- assesses_effect_of(X,Y)
0.996006	manifestation_of(X,Y) :- uses(X,Y)
0.995774	interacts_with(X,Y) :- complicates(X,Y)
0.993853	uses(X,Y) :- diagnoses(X,Y)
0.991719	affects(X,Y) :- precedes(X,Y)
0.990893	co-occurs_with(X,Y) :- occurs_in(X,Y)
0.988952	interconnects(X,Y) :- precedes(X,Y)
0.987147	uses(X,Y) :- contains(X,Y)
0.942033	measures(X,Y) :- analyzes(X,Y)
0.923256	analyzes(X,Y) :- causes(X,Y)
0.020222	surrounds(X,Y) :- surrounds(X,Y)

(('p0_2', 'X', 'Y'), ('p1_2', 'X', 'Z'), ('p2_2', 'Z', 'Y'))
0.999311	process_of(X,Y) :- degree_of(X,Z), measures(Z,Y)
0.998889	manifestation_of(X,Y) :- process_of(X,Z), indicates(Z,Y)
0.998704	location_of(X,Y) :- result_of(X,Z), performs(Z,Y)
0.998091	produces(X,Y) :- result_of(X,Z), performs(Z,Y)
0.997821	result_of(X,Y) :- adjacent_to(X,Z), measures(Z,Y)
0.997395	produces(X,Y) :- process_of(X,Z), adjacent_to(Z,Y)
0.997107	measures(X,Y) :- prevents(X,Z), interconnects(Z,Y)
0.996828	complicates(X,Y) :- complicates(X,Z), indicates(Z,Y)
0.99553	uses(X,Y) :- uses(X,Z), performs(Z,Y)
0.995443	location_of(X,Y) :- treats(X,Z), causes(Z,Y)
0.994607	uses(X,Y) :- performs(X,Z), measurement_of(Z,Y)
0.994444	consists_of(X,Y) :- conceptual_part_of(X,Z), produces(Z,Y)
0.99442	uses(X,Y) :- interacts_with(X,Z), occurs_in(Z,Y)
0.99405	exhibits(X,Y) :- performs(X,Z), consists_of(Z,Y)
0.993577	conceptual_part_of(X,Y) :- manifestation_of(X,Z), diagnoses(Z,Y)
0.992571	uses(X,Y) :- performs(X,Z), treats(Z,Y)
0.992471	performs(X,Y) :- produces(X,Z), exhibits(Z,Y)
0.992291	surrounds(X,Y) :- affects(X,Z), contains(Z,Y)
0.991517	causes(X,Y) :- causes(X,Z), method_of(Z,Y)
0.985365	causes(X,Y) :- method_of(X,Z), adjacent_to(Z,Y)

